pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_eqt,st_teff,st_mass,sy_dist
55 Cnc e,0.7365437,0.01544,2.08,7.81,0.061,1958,5234,0.91,12.5855
AU Mic b,8.463,0.0645,4.07,17,0,593,3700,0.5,9.7221
AU Mic c,18.859019,0.1101,3.24,13.6,0,454,3700,0.5,9.7221
BD+20 594 b,41.6855,0.241,2.23,16.3,0,546,5766,0.96,179.461
CoRoT-10 b,13.2406,0.1055,10.87,874,0.53,600,5075,0.89,338.386
CoRoT-11 b,2.99433,0.0436,16.03,740.51,0,1657,6440,1.27,655.037
CoRoT-12 b,2.828042,0.04016,16.14,291.438,0.07,1442,5675,1.08,1126.37
CoRoT-13 b,4.03519,0.051,9.92,415.704,0,1700,5945,1.09,1148.93
CoRoT-14 b,1.51214,0.027,12.22,2415.4,0,1952,6035,1.13,1744.6
CoRoT-17 b,3.7681,0.0461,11.43,772.29,0,1626,5740,1.04,1176.12
CoRoT-18 b,1.9000693,0.0295,14.68,1102.82,0.08,1550,5440,0.95,764.889
CoRoT-19 b,3.89713,0.0518,14.46,352.78,0.047,2000,6090,1.21,790.663
CoRoT-20 b,9.24285,0.0902,9.42,1347.54,0.562,1002,5880,1.14,844.061
CoRoT-22 b,9.75598,0.092,4.88,12.2,0.077,885,5939,1.1,627.158
CoRoT-23 b,3.6313,0.048,11.77,889.9,0.16,1660,5900,1.14,1060.97
CoRoT-24 b,5.1134,0.056,3.7,5.7,0,1070,4950,0.91,591.555
CoRoT-24 c,11.759,0.098,5,28,0,850,4950,0.91,591.555
CoRoT-25 b,4.86069,0.0578,12.11,85.81,0,1330,6040,1.09,1103.48
CoRoT-26 b,4.20474,0.0526,14.12,165.26,0,1600,5590,1.09,1045.18
CoRoT-27 b,3.57532,0.0476,11.287,3302.11,0.065,1500,5900,1.05,1010.28
CoRoT-35 b,3.22748,0.0429,18.831,349.61125,0,1747,6390,1.01,1123.21
CoRoT-36 b,5.616531,0.066,15.805,216.12332,0,1567,6730,1.32,925.958
CoRoT-4 b,9.20205,0.09,13.34,228.83,0,1074,6190,1.16,726.412
CoRoT-5 b,4.0378962,0.04947,15.558,148.42,0.09,1438,6100,1,882.472
CoRoT-6 b,8.886593,0.0855,13.068,940.74,0.1,1017,6090,1.05,645.294
CoRoT-7 b,0.85359159,0.017016,1.585,5.74,0,1756,5259,0.91,159.906
CoRoT-9 b,95.272656,0.4021,11.949,266.9772,0.133,420,5625,0.96,412.98
EPIC 211945201 b,19.49213,0.148,6.12,27,0,886,6025,1.18,181.69
EPIC 220674823 b,0.571292,0.0116,1.52,8.36,0,2333,5470,0.94,244.59
EPIC 220674823 c,13.3397,0.105,2.5,5.8,0.18,774,5470,0.94,244.59
EPIC 248847494 b,3650,4.5,12.442,4131.79,0,183,4898,0.9,551.886
EPIC 249893012 b,3.5951,0.047,1.95,8.75,0.06,1616,5430,1.05,321.296
EPIC 249893012 c,15.624,0.13,3.67,14.67,0.07,990,5430,1.05,321.296
EPIC 249893012 d,35.747,0.22,3.94,10.18,0.15,752,5430,1.05,321.296
G 9-40 b,5.746007,0.0385,2.025,11.7,0,456,3348,0.29,27.9276
GJ 1132 b,1.628931,0.0153,1.13,1.66,0.22,529,3270,0.18,12.613
GJ 1214 b,1.58040433,0.0149,2.742,8.17,0.063,596,3250,0.18,14.6427
GJ 1252 b,0.5182349,0.00916,1.193,2.09,0,1089,3458,0.38,20.373
GJ 143 b,35.61253,0.1915,2.61,22.7,0.188,422,4640,0.73,16.32
GJ 3090 b,2.853136,0.03165,2.13,3.34,0.32,693,3556,0.52,22.4751
GJ 3470 b,3.33714,0.0348,4.2,14,0.051,615,3600,0.54,29.4214
GJ 3470 b,3.3366487,0.031,3.88,13.73,0.017,604,3652,0.51,29.4214
GJ 3473 b,1.1980035,0.01589,1.264,1.86,0,773,3347,0.36,27.3644
GJ 367 b,0.321962,0.0071,0.718,0.546,0,1745,3522,0.45,9.41263
GJ 3929 b,2.616235,0.0252,1.09,1.75,0,568,3384,0.31,15.8095
GJ 486 b,1.467119,0.01734,1.305,2.82,0.05,701,3340,0.32,8.07426
GPX-1 b,1.744579,0.0338,16.477,6261.21962,0,2300,7000,1.68,655.013
HAT-P-11 b,4.8878162,0.053,4.73,25.743,0.198,878,4780,0.81,37.7647
HAT-P-12 b,3.2130598,0.0384,10.749,67.059,0,963,4650,0.73,142.751
HAT-P-13 b,2.91626,0.0427,14.359,271.098,0.021,1653,5653,1.22,246.81
HAT-P-14 b,4.627669,0.0606,12.89,709.367,0.107,1570,6600,1.39,222.663
HAT-P-14 b,4.627649,0.0596,13.451,724.6524,0.066,1612,6583,1.32,222.663
HAT-P-15 b,10.863502,0.0964,12.016,618.471,0.19,904,5568,1.01,192.516
HAT-P-16 b,2.77596,0.0413,14.448,1332.605,0.036,1626,6158,1.22,226.637
HAT-P-17 b,10.338523,0.0882,11.321,169.71,0.342,792,5246,0.86,92.3831
HAT-P-18 b,5.507978,0.0559,10.615,62.29468,0.009,841,4870,0.77,161.4
HAT-P-18 b,5.508023,0.0559,11.153,62.61,0.084,852,4803,0.77,161.4
HAT-P-19 b,4.008778,0.0466,12.689,92.802,0.067,1010,4990,0.84,202.078
HAT-P-2 b,5.6334729,0.06878,12.969,2888.95,0.5171,1540,6290,1.36,127.774
HAT-P-20 b,2.875317,0.0361,9.718,2302.899,0.015,970,4595,0.76,71.0374
HAT-P-20 b,2.87531694,0.03593,11.489,2294.7326,0.0172,964,4595,0.74,71.0374
HAT-P-21 b,4.124481,0.0494,11.478,1291.289,0.228,1283,5588,0.95,277.278
HAT-P-22 b,3.21222,0.0414,12.106,682.352,0.016,1283,5302,0.92,81.7647
HAT-P-23 b,1.212884,0.0232,15.334,664.237,0.106,2056,5905,1.13,364.813
HAT-P-23 b,1.21288287,0.02302,13.72,658,0,1951,5885,1.1,364.813
HAT-P-24 b,3.35524,0.0465,13.922,217.704,0.067,1637,6373,1.19,415.344
HAT-P-25 b,3.652836,0.0466,13.339,180.202,0.032,1202,5500,1.01,300.384
HAT-P-25 b,3.65281514,0.0466,12.722,180.84527,0.023,1182,5519,1.01,300.384
HAT-P-26 b,4.234516,0.0479,6.333,18.751,0.124,1001,5079,0.82,141.837
HAT-P-28 b,3.257215,0.0434,13.585,198.953,0.051,1384,5680,1.02,401.319
HAT-P-29 b,5.723186,0.0667,12.408,247.261,0.095,1260,6087,1.21,313.576
HAT-P-29 b,5.72339,0.0665,11.926,243.77561,0.075,1271,6115,1.2,313.576
HAT-P-30 b,2.810595,0.0419,15.02,225.968,0.035,1630,6304,1.24,213.985
HAT-P-31 b,5.005425,0.055,11.99,689.98,0.245,1450,6065,1.22,344.05
HAT-P-32 b,2.150008,0.0343,20.053,273.322,0,1786,6207,1.16,289.205
HAT-P-32 b,2.1500082,0.03397,22.194,216.1244,0.159,1836,6001,1.13,289.205
HAT-P-33 b,3.474474,0.0499,18.898,242.176,0,1782,6446,1.38,396.11
HAT-P-34 b,5.452654,0.0677,13.417,1057.694,0.441,1520,6442,1.39,249.325
HAT-P-35 b,3.646706,0.0498,14.93,334.979,0.025,1581,6096,1.24,506.965
HAT-P-36 b,1.3273466,0.02402,15.211,611.82275,0.063,1820,5560,1.05,294.419
HAT-P-36 b,1.327347,0.0238,14.168,582.24,0.063,1823,5560,1.02,294.419
HAT-P-37 b,2.797436,0.0379,13.204,371.528,0.058,1271,5500,0.93,390.594
HAT-P-38 b,4.640382,0.0523,9.247,84.857,0.067,1082,5330,0.89,255.206
HAT-P-39 b,3.54387,0.0509,17.609,190.372,0,1752,6430,1.4,697.004
HAT-P-40 b,4.457243,0.0608,19.392,195.457,0,1770,6080,1.51,464.469
HAT-P-41 b,2.694047,0.0426,18.887,254.253,0,1941,6390,1.42,348.185
HAT-P-42 b,4.641878,0.0575,14.348,331.801,0,1428,5743,1.18,405.238
HAT-P-43 b,3.332687,0.0443,14.359,210.395,0,1361,5645,1.05,528.825
HAT-P-44 b,4.301219,0.0507,13.922,111.871,0.044,1108,5295,0.94,347.85
HAT-P-45 b,3.128992,0.0452,15.984,283.492,0.049,1652,6330,1.26,298.64
HAT-P-46 b,4.463129,0.0577,14.392,156.684,0.123,1458,6120,1.28,290.736
HAT-P-49 b,2.691548,0.0438,15.838,549.823,0,2131,6820,1.54,350.351
HAT-P-50 b,3.1220109,0.0453,14.437,429.0705,0.115,1862,6280,1.27,515.458
HAT-P-51 b,4.2180278,0.05069,14.493,98.20947,0.123,1192,5449,0.98,440.089
HAT-P-52 b,2.7535953,0.03694,11.31,259.98494,0.047,1218,5131,0.89,361.155
HAT-P-53 b,1.9616241,0.03159,14.773,471.65972,0.134,1778,5956,1.09,666.802
HAT-P-54 b,3.799847,0.04117,10.581,241.5508,0.074,818,4390,0.65,143.651
HAT-P-55 b,3.5852467,0.04604,13.249,184.97706,0.139,1313,5808,1.01,511.388
HAT-P-56 b,2.7908327,0.0423,16.432,692.8694,0.246,1840,6566,1.3,320.639
HAT-P-57 b,2.465295,0.0406,15.838,587.9855,0,2200,7500,1.47,279.86
HAT-P-58 b,4.0138379,0.04994,14.93,118.23217,0.073,1622,6078,1.03,515.59
HAT-P-59 b,4.1419771,0.05064,12.588,489.45575,0.03,1278,5678,1.01,265.471
HAT-P-60 b,4.7947813,0.06277,18.282,182.43351,0.25,1772,6212,1.44,233.22
HAT-P-61 b,1.90231289,0.0301,10.077,335.94463,0.113,1505,5587,1,338.84
HAT-P-62 b,2.6453235,0.03772,12.027,241.86742,0.101,1512,5629,1.02,348.815
HAT-P-63 b,3.377728,0.04294,12.543,195.14664,0.069,1237,5400,0.93,4483.05
HAT-P-64 b,4.007232,0.05387,19.089,184.34048,0.101,1766,6457,1.3,651.897
HAT-P-65 b,2.6054552,0.03951,21.185,167.49641,0.304,1930,5835,1.21,738.519
HAT-P-66 b,2.972086,0.04363,17.822,248.86089,0.09,1896,6002,1.25,935.456
HAT-P-67 b,4.8101025,0.06505,23.371,108.0622,0,1903,6406,1.64,371.686
HAT-P-68 b,2.29840551,0.02996,12.016,230.10892,0.041,1028,4508,0.68,202.152
HAT-P-69 b,4.7869491,0.06555,18.786,1137.8314,0,1930,7394,1.65,341.263
HAT-P-7 b,2.2047354,0.0355,15.906,566.05523,0,2200,6350,1.47,341.079
HAT-P-7 b,2.204737,0.0377,15.043,564.442,0,2733,6532.23,1.35,341.079
HAT-P-7 b,2.2047372,0.03676,16.713,534.59006,0.0016,2700,6441,1.47,341.079
HAT-P-70 b,2.74432452,0.04739,20.961,2154.8874,0,2562,8450,1.89,330.739
HAT-P-8 b,3.0763776,0.0487,16.81,483.08,0,1700,6200,1.28,211.553
HAT-P-9 b,3.92281072,0.05287,15.614,238.05467,0.084,1540,6350,1.28,455.203
HAT-P-9 b,3.92289,0.053,15.69,247.9,0,1530,6350,1.28,455.203
HATS-1 b,3.446459,0.0444,14.594,589.55,0.12,1359,5870,0.99,283.971
HATS-10 b,3.312846,0.04491,10.862,167.17858,0.501,1407,5880,1.1,534.889
HATS-11 b,3.6191613,0.04614,16.926,270.1555,0.34,1637,6060,1,944.603
HATS-12 b,3.142833,0.04795,15.132,756.4354,0.085,2097,6408,1.49,746.138
HATS-13 b,3.0440499,0.04057,13.585,172.58169,0.181,1244,5523,0.96,421.855
HATS-14 b,2.7667641,0.03815,11.646,340.39593,0.142,1276,5346,0.97,513.011
HATS-15 b,1.74748753,0.02712,12.386,689.6911,0.126,1505,5311,0.87,1139.55
HATS-16 b,2.686502,0.03744,14.572,1039.3041,0,1592,5738,0.97,757.044
HATS-17 b,16.254611,0.1308,8.709,425.25654,0.029,814,5846,1.13,400.331
HATS-18 b,0.8378434,0.01761,14.986,629.3034,0.166,2060,5600,1.04,624.368
HATS-2 b,1.354133,0.023,13.092,427.463,0,1577,5227,0.88,341.925
HATS-22 b,4.7228124,0.05025,10.682,870.8542,0.079,858,4803,0.76,229.518
HATS-23 b,2.1605156,0.03397,20.849,467.2101,0.114,1654,5780,1.12,639.004
HATS-24 b,1.3484954,0.02547,16.668,775.5052,0.242,2067,6346,1.21,494.182
HATS-24 b,1.3484978,0.0238,15.637,718.2958,0,2166,6125,1.07,494.182
HATS-25 b,4.2986432,0.05163,14.123,194.82979,0.176,1277,5715,0.99,471.158
HATS-26 b,3.3023881,0.04735,19.616,206.5895,0.245,1918,6071,1.3,861.843
HATS-27 b,4.637038,0.0611,16.814,168.4499,0.581,1659,6438,1.42,816.988
HATS-28 b,3.1810781,0.04131,13.384,213.58176,0.202,1253,5498,0.93,535.383
HATS-29 b,4.6058749,0.05475,14.022,207.54299,0.158,1212,5670,1.03,353.891
HATS-3 b,3.547851,0.0485,15.48,340.382,0,1648,6351,1.21,411.211
HATS-30 b,3.1743516,0.04354,13.171,224.38798,0.096,1414,5943,1.09,342.14
HATS-31 b,3.37796,0.0478,18.383,279.6904,0.233,1823,6050,1.27,773.974
HATS-32 b,2.8126548,0.04024,14,292.4036,0.471,1437,5700,1.1,745.116
HATS-33 b,2.5495551,0.03727,13.787,378.85336,0.08,1429,5659,1.06,248.46
HATS-34 b,2.1061607,0.03166,16.029,299.07803,0.108,1445,5380,0.95,508.842
HATS-35 b,1.8209993,0.03199,16.41,388.38826,0.306,2037,6300,1.32,514.555
HATS-36 b,4.1752387,0.05425,13.843,1022.14128,0.105,1356,6149,1.22,856.436
HATS-37 A b,4.3315366,0.04913,6.793,31.46517,0,1085,5326,0.84,211.896
HATS-38 b,4.375021,0.05036,6.882,23.51942,0,1294,5732,0.89,343.525
HATS-39 b,4.5776348,0.06007,17.598,200.2329,0.275,1645,6572,1.38,878.521
HATS-4 b,2.516729,0.0362,11.433,420.471,0.013,1315,5403,1,416.459
HATS-40 b,3.2642736,0.04997,17.71,505.3497,0.312,2101,6460,1.56,1342.29
HATS-41 b,4.193649,0.0583,14.908,3082.951,0.38,1710,6424,1.5,737.668
HATS-42 b,2.292102,0.03689,15.693,597.5204,0.229,1856,6060,1.27,800.377
HATS-43 b,4.3888497,0.04944,13.227,82.95363,0.173,1003,5099,0.84,362.273
HATS-44 b,2.7439004,0.03649,11.96,177.9848,0.279,1161,5080,0.86,446.035
HATS-45 b,4.1876244,0.05511,14.415,222.481,0.24,1518,6450,1.27,772.11
HATS-46 b,4.7423729,0.05367,10.122,54.98459,0.559,1054,5495,0.92,453.808
HATS-47 b,3.9228038,0.04269,12.52,117.27927,0.088,853,4512,0.67,300.67
HATS-48 A b,3.1316666,0.03769,8.967,77.23269,0.162,955,4546,0.73,263.609
HATS-49 b,4.1480467,0.04515,8.575,112.19399,0.071,835,4405,0.71,324.413
HATS-5 b,4.763387,0.0542,10.223,75.323,0.019,1025,5304,0.94,246.384
HATS-51 b,3.3488702,0.04639,15.805,244.09344,0.33,1553,5758,1.19,389.57
HATS-52 b,1.36665436,0.02498,15.491,711.9392,0.246,1834,6010,1.11,555.134
HATS-53 b,3.8537768,0.04753,15.02,189.10885,0.33,1312,5644,0.96,585.77
HATS-54 b,2.5441828,0.03763,11.96,241.5508,0.126,1625,5702,1.1,748.585
HATS-54 b,2.5441765,0.037,11.377,239.32479,0,1429,5621,1.05,748.585
HATS-55 b,4.2042001,0.05412,14.022,292.72143,0.092,1367,6214,1.2,609.838
HATS-56 b,4.324799,0.06043,18.921,191.33366,0.019,1902,6536,1.57,564.409
HATS-57 b,2.350621,0.03493,12.767,1000.21101,0.028,1413,5587,1.03,279.485
HATS-58 A b,4.2180896,0.05798,12.274,327.3649,0.168,1721,7175,1.46,403.591
HATS-59 b,5.416081,0.06112,12.621,256.17098,0.129,1128,5670,1.04,642.884
HATS-6 b,3.3252725,0.03623,11.187,101.38777,0,713,3724,0.57,169.318
HATS-60 b,3.560829,0.04708,12.924,210.40346,0.191,1528,5688,1.1,486.474
HATS-61 b,7.817953,0.07908,13.395,1080.622,0.092,1226,5542,1.08,679.761
HATS-62 b,3.2768837,0.04163,11.825,56.89157,0.298,1237,5416,0.9,523.067
HATS-63 b,3.0566527,0.04026,13.529,305.1168,0.136,1398,5627,0.93,623.232
HATS-64 b,4.908897,0.06562,18.82,305.1168,0.151,1793,6554,1.56,1080.15
HATS-65 b,3.105161,0.04497,16.825,260.93843,0.062,1634,6277,1.26,493.32
HATS-66 b,3.1414391,0.04714,15.816,1694.0339,0.064,1998,6626,1.41,1477.98
HATS-67 b,1.6091788,0.03032,18.887,460.8535,0.057,2193,6594,1.44,960.109
HATS-68 b,3.5862202,0.05071,13.809,410.0007,0.036,1741,6147,1.35,603.955
HATS-69 b,2.2252577,0.03211,10.593,183.38791,0.519,1296,5137,0.89,414.537
HATS-7 b,3.185315,0.04012,6.311,38.1396,0.17,1084,4985,0.85,240.707
HATS-70 b,1.8882378,0.03632,15.513,4100.007,0.18,2730,7930,1.78,1458.83
HATS-71 b,3.7955202,0.03745,11.478,117.5971,0,587,3405,0.49,140.225
HATS-72 b,7.3279474,0.066517,8.097,39.85588,0.013,739,4656.1,0.73,127.589
HATS-74 A b,1.73185606,0.02384,11.568,464.02947,0.044,895,3776.9,0.6,299.389
HATS-75 b,2.7886556,0.032742,9.909,156.05375,0.064,772,3790.4,0.6,194.964
HATS-76 b,1.9416423,0.02658,12.094,835.57088,0.062,940,4016,0.66,385.689
HATS-77 b,3.0876262,0.03607,13.058,436.69623,0.045,828,4071,0.66,436.176
HATS-8 b,3.583893,0.04667,9.785,43.86054,0.376,1324,5679,1.06,794.637
HATS-9 b,1.9153073,0.03048,11.938,266.02371,0.129,1823,5366,1.03,638.7
HD 106315 b,9.55237,0.0907,2.44,12.6,0.093,1153,6327,1.09,109.353
HD 106315 c,21.05704,0.1536,4.35,15.2,0.22,886,6327,1.09,109.353
HD 110113 b,2.541,0.035,2.05,4.55,0.093,1371,5732,1,106.307
HD 136352 b,11.57779,0.0969,1.482,4.62,0.079,911,5850,0.91,14.682
HD 136352 b,11.57797,0.0964,1.664,4.72,0,905,5664,0.87,14.682
HD 136352 c,27.5909,0.1729,2.608,11.29,0.037,682,5850,0.91,14.682
HD 136352 c,27.59221,0.1721,2.916,11.24,0,677,5664,0.87,14.682
HD 136352 d,107.245,0.425,2.562,8.82,0,431,5664,0.87,14.682
HD 137496 b,1.62116,0.02732,1.31,4.04,0,2130,5799,1.04,155.317
HD 1397 b,11.53533,0.1097,11.5,131.89945,0.251,1228,5521,1.32,79.5702
HD 1397 b,11.5366,0.1003,11.467,116.64361,0.216,1519,5474,1.26,79.5702
HD 15337 b,4.75642,0.05245,1.699,7.2,0.17,1006,5131,0.85,44.8155
HD 15337 b,4.75615,0.0522,1.64,7.51,0.09,1001,5125,0.9,44.8155
HD 15337 c,17.1784,0.1268,2.39,8.11,0.05,642,5125,0.9,44.8155
HD 15337 c,17.1784,0.1235,2.522,8.79,0.19,656,5131,0.85,44.8155
HD 183579 b,17.471275,0.13,3.53,11.2,0,748,5706,1.03,57.2651
HD 183579 b,17.471278,0.1334,3.55,19.7,0.28,769,5788,1.03,57.2651
HD 18599 b,4.137437,0.05,2.7,25.5,0.2,863,5083,0.81,38.5653
HD 191939 b,8.88029,0.078,3.39,10.4,0,893,5348,0.81,53.6089
HD 191939 b,8.8803256,0.0804,3.41,10,0.031,880,5348,0.81,53.6089
HD 191939 c,28.579743,0.1752,3.195,8,0.034,600,5348,0.81,53.6089
HD 191939 c,28.5805,0.17,3.08,7.2,0,605,5348,0.81,53.6089
HD 191939 d,38.3525,0.207,3.04,5.8,0,549,5348,0.81,53.6089
HD 191939 d,38.353037,0.2132,2.995,2.8,0.031,540,5348,0.81,53.6089
HD 202772 A b,3.308958,0.05208,17.318,323.23311,0.038,2132,6272,1.72,161.498
HD 20329 b,0.926118,0.018,1.72,7.42,0,2141,5596,0.9,63.6796
HD 207897 b,16.202159,0.1163,2.501,14.4,0.047,632,5070,0.8,28.2938
HD 213885 b,1.008035,0.02012,1.745,8.83,0,2128,5978,1.07,48.0883
HD 219134 b,3.092926,0.03876,1.602,4.74,0,1015,4699,0.81,6.53127
HD 219134 c,6.76458,0.0653,1.511,4.36,0.062,782,4699,0.81,6.53127
HD 219134 d,46.859,0.237,1.61,16.17,0.138,410,4699,0.81,6.53127
HD 219134 f,22.717,0.1463,1.31,7.3,0.148,523,4699,0.81,6.53127
HD 219666 b,6.03607,0.06356,4.71,16.6,0,1073,5527,0.92,94.1719
HD 23472 b,17.667087,0.1162,2,8.32,0.072,543,4684,0.67,39.0341
HD 23472 c,29.79749,0.1646,1.87,3.41,0.063,467,4684,0.67,39.0341
HD 23472 d,3.97664,0.04298,0.75,0.55,0.07,909,4684,0.67,39.0341
HD 23472 e,7.90754,0.068,0.818,0.72,0.07,723,4684,0.67,39.0341
HD 23472 f,12.1621839,0.0906,1.137,0.77,0.07,630,4684,0.67,39.0341
HD 260655 b,2.76953,0.02933,1.24,2.14,0.039,709,3803,0.44,10.0055
HD 260655 c,5.70588,0.04749,1.533,3.09,0.038,557,3803,0.44,10.0055
HD 2685 b,4.12688,0.0568,16.141,371.8611,0.091,2061,6801,1.43,196.852
HD 28109 b,22.89104,0.1357,2.199,18.496,0.3307,881,6120,1.26,139.611
HD 28109 c,56.00819,0.308,4.23,7.943,0.1203,585,6120,1.26,139.611
HD 28109 d,84.25999,0.411,3.25,5.681,0.0864,506,6120,1.26,139.611
HD 3167 b,0.95965428,0.01802,1.627,4.73,0.1,1777,5300,0.85,47.2899
HD 3167 b,0.959632,0.01752,1.574,5.69,0,1759,5286,0.88,47.2899
HD 3167 c,29.8464948,0.1783,2.923,10.67,0.15,565,5300,0.85,47.2899
HD 3167 c,29.84622,0.1806,2.74,8.33,0.05,548,5286,0.88,47.2899
HD 332231 b,18.71204,0.1436,9.718,77.55052,0.032,876,6089,1.13,80.6665
HD 5278 b,14.339156,0.1202,2.45,7.8,0.08,943,6203,1.13,57.5846
HD 73583 b,6.398042,0.0604,2.79,10.2,0.09,714,4511,0.73,31.5666
HD 73583 c,18.87974,0.1242,2.39,9.7,0.08,498,4511,0.73,31.5666
HD 86226 c,3.98442,0.049,2.16,7.25,0.075,1311,5863,1.02,45.683
HD 89345 b,11.81399,0.105,6.86,35.7,0.203,1053,5499,1.12,132.345
HD 89345 b,11.8143,0.1066,7.398,34.9613,0.22,1089,5576,1.16,132.345
HD 89345 b,11.8143,0.1115,7.263,38.45743,0.22,1068,5622,1.32,132.345
HD 95338 b,55.087,0.262,3.89,42.44,0.197,385,5212,0.83,36.9941
HD 97658 b,9.4903,0.08,2.247,7.55,0.078,757,5170,0.77,21.5618
HIP 116454 b,9.1205,0.0906,2.53,11.82,0.205,690,5089,0.78,62.4491
HIP 65 A b,0.9809734,0.01782,22.754,1021.18779,0,1411,4590,0.78,61.7856
HIP 94235 b,7.713057,0.0787,3,379,0.32,1060,5991,1.09,58.5146
